,BUSINESS_ID,STARS,val1,val2
0,x5vSE0-NO_YSZtOnitLWuQ,3,60,300
1,rt-EKmn8xpUuWdePYPPcHQ,2,40,200
2,KcbFFh7xfBLl2YeXQRhUNg,3,60,300
3,wHeG9RYU3_k3wlCgkLGDRA,3,60,300
4,XvTBQotmJpVPjPNaMM7qLA,3,60,300
5,x2nALssJGy_6p74ddxx3GQ,3,60,300
6,TRJHqPTKFFFglV0OGXS3Ig,2,40,200
7,oaOT2G5mIE8yOPZ55RM4cA,5,100,500
8,AJ8DDFm6QaihAPZI3wFBHw,4,80,400
9,sKWZ_tAOVMZoC4Qk8_Bd4A,1,20,100
10,UY13CTgUqriT-fMxT2APLw,5,100,500
11,p4GMQauk2iqZnN6cj81s3g,2,40,200
12,4Iak803d4fyY358jSMRasg,4,80,400
13,DTvcpHf2gGKgSujUVXA7sA,1,20,100
14,9MJDPVeLqAWLqdWF4Heqvg,3,60,300
15,QYIhMNwxXejDoCr-F1BxDg,4,80,400
16,Wnq5to0-jXyh0-_jRZ6VOQ,3,60,300
17,-cBQKodqi77Q0vk-9iDvQA,3,60,300
18,yVLbAdSQQURBNWsJIxzmfw,3,60,300
19,qBMQUR66_7pmld8NmGxVFg,5,100,500
20,IUTU_8qM7M8j9A1TbmMjYA,4,80,400
21,8F-CalsRSKiPjjsx8ql8Lg,4,80,400
22,qgAZPDQStZP_Y5XTiQ6UqA,3,60,300
23,P6c0lV9DeJ6ofntpTWyqhA,4,80,400
24,21fK0m8sQFbRQv3RlskE2w,2,40,200
25,XfNDmxQiG5nZVZe-JY10NA,4,80,400
26,6Z3lZEEIKv6opbyavmnGbA,4,80,400
27,ndQTAJzhhkrl1i5ToEGSZw,5,100,500
28,HlkjT-4MXW_efuEydjrR1A,5,100,500
29,YMZy_nGxtJtuQvflM6Ltww,5,100,500
30,2rLuOMi6Q6zzqUU8ltreSA,1,20,100
31,JzOp695tclcNCNMuBl7oxA,4,80,400
32,0TBTV3q6QXCn9vNhy3Xi2w,4,80,400
33,Hr5h_LG9TMBLlFz_Oici0A,5,100,500
34,sZf_KrF9ZLC7z4jiLGgVOw,3,60,300
35,ZHQU79PMUGCX0fEoyCcWlw,4,80,400
36,0U-1Wkl7y-wv39qM6WKL_w,4,80,400
37,RyJIi1IP0UQ5qGbwazgsIA,2,40,200
38,-yXkMzPPQ2PvzIC-NrH-Sg,3,60,300
39,GIhzzb9tjqLCYdNP_k3-dQ,3,60,300
40,vKgsXz3W4BIquVcgJs19sQ,5,100,500
41,zJCbSgXWFWwvKiIRFFuiTA,4,80,400
