Business id,Stars,Service,Cleanliness,Authenticity,Value for money
x5vSE0-NO_YSZtOnitLWuQ,3,72,41,72,19
rt-EKmn8xpUuWdePYPPcHQ,2,15,45,57,20
KcbFFh7xfBLl2YeXQRhUNg,5,92,93,86,88
wHeG9RYU3_k3wlCgkLGDRA,3,20,16,95,29
XvTBQotmJpVPjPNaMM7qLA,5,83,90,92,79
x2nALssJGy_6p74ddxx3GQ,3,53,65,38,60
TRJHqPTKFFFglV0OGXS3Ig,2,68,38,21,22
oaOT2G5mIE8yOPZ55RM4cA,3,85,94,37,84
AJ8DDFm6QaihAPZI3wFBHw,2,57,34,35,25
sKWZ_tAOVMZoC4Qk8_Bd4A,4,95,85,88,87
UY13CTgUqriT-fMxT2APLw,3,72,15,77,81
p4GMQauk2iqZnN6cj81s3g,2,65,40,57,20
4Iak803d4fyY358jSMRasg,4,94,86,95,77
DTvcpHf2gGKgSujUVXA7sA,3,55,77,63,42
9MJDPVeLqAWLqdWF4Heqvg,3,64,47,89,39
QYIhMNwxXejDoCr-F1BxDg,4,79,94,89,77
Wnq5to0-jXyh0-_jRZ6VOQ,4,90,91,91,81
-cBQKodqi77Q0vk-9iDvQA,5,86,94,92,86
yVLbAdSQQURBNWsJIxzmfw,2,34,15,34,21
qBMQUR66_7pmld8NmGxVFg,5,95,88,83,77
IUTU_8qM7M8j9A1TbmMjYA,3,39,73,18,16
8F-CalsRSKiPjjsx8ql8Lg,2,23,25,47,73
qgAZPDQStZP_Y5XTiQ6UqA,5,93,86,81,95
P6c0lV9DeJ6ofntpTWyqhA,3,17,20,15,41
21fK0m8sQFbRQv3RlskE2w,4,84,85,84,86
XfNDmxQiG5nZVZe-JY10NA,4,93,85,95,89
6Z3lZEEIKv6opbyavmnGbA,4,84,85,80,94
ndQTAJzhhkrl1i5ToEGSZw,5,92,85,89,78
HlkjT-4MXW_efuEydjrR1A,5,78,89,95,82
YMZy_nGxtJtuQvflM6Ltww,3,92,24,71,75
2rLuOMi6Q6zzqUU8ltreSA,5,84,94,93,84
JzOp695tclcNCNMuBl7oxA,4,94,92,89,87
0TBTV3q6QXCn9vNhy3Xi2w,4,90,92,87,88
Hr5h_LG9TMBLlFz_Oici0A,4,90,91,90,90
sZf_KrF9ZLC7z4jiLGgVOw,4,92,91,86,87
ZHQU79PMUGCX0fEoyCcWlw,1,36,25,34,19
